RECORD #(ITEM),LOCATION,LOUTDATE,TOT CHKOUT,TOT RENEW,YTDCIRC,TOTAL CIRC,I TYPE,Circ,RECORD #(BIBLIO),245,99,IsText
i58062907,wstkg,7/22/2015 14:55,12,11,0,12,0,12,b42589319,"The Blackwell handbook of mentoring : a multiple perspectives approach / edited by Tammy D. Allen, Lillian T. Eby.",BF637.M45B56 2007,n
i60563965,kcstk,9/21/2010 16:05,3,6,0,3,0,6,b42589319,"The Blackwell handbook of mentoring : a multiple perspectives approach / edited by Tammy D. Allen, Lillian T. Eby.",BF637.M45B56 2007,n
i63058972,kcstk,9/21/2010 16:05,1,3,0,1,0,3,b48045962,"A handbook for women mentors : transcending barriers of stereotype, race, and ethnicity / Carole A. Rayburn ... [et al.], editors   foreword by Bonnie R. Strickland.",BF637.M45H36 2010,n
i62694121,bstkg,3/31/2010 8:53,1,0,0,1,0,1,b47713598,"Mentoring : program development, relationships and outcomes / Michael I. Keel, editor.",BF637.M45M46 2009,n
i80511715,estkg,  -  -  ,0,0,0,0,0,0,b64494421,"Mentoring for the professions : orienting toward the future / edited by Aimee A. Howley, Mary Barbara Trube.",BF637.M45M4615 2015,n
i47183871,kcstk,11/22/2016 16:37,14,8,1,13,0,14,b34582320,Meditation for dummies / by Stephan Bodian   foreword by Dean Ornish.,BF637.M4B6,n
i84728413,estkg,1/24/2017 14:23,2,0,2,0,0,2,b68479384,"Mindful games : sharing mindfulness and meditation with children, teens, and families / Susan Kaiser Greenland   games edited by Annaka Harris.",BF637.M4G73 2016,n
i73028599,kcstk,4/7/2015 15:55,6,2,0,6,0,6,b58775924,The mindful manifesto : how doing less and noticing more can help us thrive in a stressed-out world / Jonty Heaversedge & Ed Halliwell.,BF637.M4H43 2012,n
i72523888,kcstk,6/23/2016 14:32,16,11,1,15,0,16,b5822631x,Mindfulness for beginners : reclaiming the present moment--and your life / Jon Kabat-Zinn.,BF637.M4K227 2012,n
i60278997,hstk ,12/17/2014 12:21,22,23,0,22,0,23,b44480489,"Wherever you go, there you are : mindfulness meditation in everyday life / Jon Kabat-Zinn.",BF637.M4K23 1994,n
i7009231x,kcstk,9/16/2016 18:59,18,16,1,17,0,18,b55719235,"Wherever you go, there you are : mindfulness meditation in everyday life / Jon Kabat-Zinn.",BF637.M4K23 2005,n
i72064225,ustk ,12/16/2016 11:43,18,18,3,15,0,18,b55719235,"Wherever you go, there you are : mindfulness meditation in everyday life / Jon Kabat-Zinn.",BF637.M4K23 2005,n
i33667457,wstkg,2/10/2011 20:42,9,2,0,9,0,9,b25832815,"Elements of mediation / Sharon C. Leviton, James L. Greenstone.",BF637.M4L38 1997,n
i60622866,kcstk,5/12/2008 14:57,1,0,0,1,0,1,b45011412,Focused attention : the impact of concentrative meditation on cognitive control and altered states of consciousness / by Daniel Lev.,BF637.M4L48 2008,n
i42367098,hstk ,1/28/2010 14:37,1,0,0,1,0,1,b30942263,The open way : a meditation handbook / Gerald G. May   [line ill. by Richard Rossitter].,BF637.M4M38,n
i79114623,wstkg,10/26/2016 20:02,6,1,1,5,0,6,b63060644,"Mindfulness and character strengths : a practical guide to flourishing / Ryan Niemiec, VIA Institute on Character, Cincinnati, OH.",BF637.M4N54 2014,n
i46548336,kcstk,4/7/2015 15:55,7,3,0,7,0,7,b34046744,The psychology of meditation / edited by Michael A. West.,BF637.M4P72 1990,n
i23302987,wstkg,3/14/2014 14:30,15,3,0,15,0,15,b19791720,The Psychology of meditation / edited by Michael A. West.,BF637.M4P78 1987,n
i81947598,ustk ,  -  -  ,0,0,0,0,0,0,b66013008,The psychology of meditation : research and practice / edited by Michael A. West.,BF637.M4P97 2016,n
i19818579,wstkg,2/10/2011 20:42,8,1,0,8,0,8,b16925361,"Meditation, self-regulation strategy & altered state of consciousness : a scientific/personal exploration / Deane H. Shapiro, Jr.",BF637.M4S5,n
i46818819,kcstk,  -  -  ,0,0,0,0,0,0,b34273906,"Meditation, self-regulation strategy & altered state of consciousness : a scientific/personal exploration / Deane H. Shapiro, Jr.",BF637.M4S5 1980,n
i62992016,kcstk,6/28/2016 10:22,16,15,2,14,0,16,b47956021,The mindfulness solution : everyday practices for everyday problems / Ronald D. Siegel.,BF637.M4S54 2010,n
i53002726,wstkg,2/10/2011 20:42,5,2,0,5,0,5,b36542155,"Mediation : a psychological insight into conflict resolution / Freddie Strasser, Paul Randolph.",BF637.M4S77 2004,n
i46818807,kcstk,  -  -  ,0,0,0,0,0,0,b3427389x,"Gesture of balance : a guide to awareness, self-healing, and meditation / Tarthang Tulku.",BF637.M4T3 1977,n
i47194297,kcstk,2/11/2013 15:14,3,0,0,3,0,3,b3459212x,Mind science : meditation training for practical people / by Charles T. Tart.,BF637.M4T37,n
i23289922,wstkg,11/16/2015 9:48,12,9,0,12,0,12,b1978000x,Roots of neuro-linguistic programming / by Robert Brian Dilts.,BF637.N46D55 1983,n
i62271039,bstkg,11/5/2012 12:12,5,10,0,5,0,10,b47327510,Understanding NLP : strategies for better workplace communication-- without the jargon / Frances Kay and Neilson Kite.,BF637.N46K39 2009,n
i62526273,wstkg,7/15/2013 12:12,2,3,0,2,0,3,b47327510,Understanding NLP : strategies for better workplace communication-- without the jargon / Frances Kay and Neilson Kite.,BF637.N46K39 2009,n
i60525010,kcstk,4/5/2009 16:34,1,0,0,1,0,1,b44893280,NLP at work : the difference that makes the difference in business / Sue Knight.,BF637.N46K55 2002,n
i58043299,ustk ,6/16/2008 12:35,1,0,0,1,0,1,b42577068,"Brilliant NLP : what the most successful people know, say, and do / David Molden and Pat Hutchinson.",BF637.N46M71 2006,n
i6298861x,bstkg,8/22/2014 15:50,4,8,0,4,0,8,b48036675,"Neuro-linguistic programming : a critical appreciation for managers and developers / Paul Tosey, Jane Mathison.",BF637.N46T67 2009,n
i26346758,wstkg,3/16/2009 9:30,16,4,0,16,0,16,b22239364,Getting what you want : how to reach agreement and resolve conflict every time / Kare Anderson.,BF637.N4A53 1993,n
i46556230,kcstk,12/18/2009 14:34,3,6,0,3,0,6,b34054078,"Negotiating rationally / Max H. Bazerman, Margaret A. Neale.",BF637.N4B3 1992,n
i20229720,rrdlg,  -  -  ,0,0,0,0,0,0,b17299135,"Process and outcome of negotiations, [by] Otomar J. Bartos.",BF637.N4B37,n
i4395585x,ustk ,7/21/2004 12:37,1,0,0,1,0,1,b3221053x,The mediator's handbook / by Jennifer E. Beer with Eileen Stief.,BF637.N4B41,n
i57696469,bstkg,10/10/2009 15:32,1,2,0,1,0,2,b42367505,"Negotiating essentials : theory, skills, and practices / Michael R. Carrell, Christina Heavrin.",BF637.N4C363 2008,n
i27418595,wstkg,  -  -  ,3,0,0,3,0,3,b23270688,"Negotiation : process, tactics, theory / David Churchman.",BF637.N4C48 1995,n
i25816202,lstkg,9/23/2008 9:42,13,3,0,13,0,13,b21855377,You can negotiate anything / Herb Cohen.,BF637.N4C55 1982,n
i25816214,lstkg,12/17/2010 15:55,10,4,0,16,0,16,b21855377,You can negotiate anything / Herb Cohen.,BF637.N4C55 1982,n
i21115667,rrdlg,  -  -  ,0,0,0,0,0,0,b18027325,Economics of bargaining.,BF637.N4C76,n
i63400650,wstkg,4/9/2016 15:54,7,8,0,7,0,8,b48829146,Deadlocks in multilateral negotiations : causes and solutions / edited by Amrita Narlikar.,BF637.N4D43 2010,n
i68062242,bstkg,10/22/2015 15:19,1,1,0,1,0,1,b53711695,Getting more : how you can negotiate to succeed in work and life / Stuart Diamond.,BF637.N4D53 2010,n
i70092242,kcstk,5/25/2016 9:48,1,0,0,1,0,1,b55718425,Getting more : how to negotiate to achieve your goals in the real world / Stuart Diamond.,BF637.N4D53 2010,n
i34880021,wstkg,11/29/2007 10:42,2,0,0,2,0,2,b26509106,Negotiating ethics : on ethics in negotiation and negotiating in ethics / Robert van Es.,BF637.N4E7 1996,n
i46818790,kcstk,10/25/2016 15:14,12,3,1,11,0,12,b34273888,"Getting to yes : negotiating agreement without giving in / Roger Fisher and William Ury   with Bruce Patton, editor.",BF637.N4F5 1981,z
i51813099,wstkg,10/26/2011 16:47,8,4,0,15,0,15,b3746274x,Beyond reason : using emotions as you negotiate / Roger Fisher and Daniel Shapiro.,BF637.N4F55 2005,n
