RECORD #(ITEM),LOCATION,LOUTDATE,TOT CHKOUT,TOT RENEW,YTDCIRC,TOTAL CIRC,I TYPE,Circ,RECORD #(BIBLIO),245,99,IsText
i11625326,wstkg,4/13/2009 14:08,2,1,0,2,0,2,b11307079,The golden booke of the leaden gods : London 1577 / Stephen Batman. The third part of ... Yvychurch : London 1592 / Abraham Fraunce. The fountaine of ancient fiction : London 1599 / [translated by] Richard Lynche.,BL720.B37,n
i11634881,wstkg,6/17/2014 15:52,5,12,0,5,0,12,b11315854,Le imagini ... degli dei / Vincenzo Cartari.,BL720.C2 1976,n
i1537418x,wstkg,  -  -  ,3,0,0,3,0,3,b14388546,"Mythologiae sive Explicationis fabularum libri decem, in quibus omnia prope naturalis et moralis philosophiae dogmata in veterum fabulis contenta fuisse perspicuè demonstratur. Opus cuius vis facultatis studiosis perutile ac prope necessarium. Accessit G. Linocerii Musarum Mythologia, & anonymi observationum in totam de dijs gentium narrationem libellus. Adiectae sunt insupernovissimae huic, post Germanicã & Gallicam, edtioni elegantissimae Deorum imagines, & eruditissimae mythologia M. Antonij Tritonij utinensis. Omnia summo studio, & exquisito labore emendata.",BL720.C6 1616,n
i58072378,wstkg,10/15/2015 16:36,5,6,1,4,0,6,b42596087,Natale Conti's Mythologiae / translated and annotated by John Mulryan and Steven Brown.,BL720.C613 2006,n
i58180199,wstkg,10/15/2015 16:36,5,6,1,4,0,6,b42596087,Natale Conti's Mythologiae / translated and annotated by John Mulryan and Steven Brown.,BL720.C613 2006,n
i11638394,wstkg,1/7/2005 12:40,2,3,0,2,0,3,b11318776,"The poetical histories, London 1671 / Pierre Gautruche   translated by Marius D'Assigny. Appendix de Diis et heroibus poeticis, Rouen 1705 / Joseph de Jouvency.",BL720.G35 1976,n
i12542982,wstkg,3/18/2016 22:01,4,3,0,4,0,4,b12046826,"The Pantheon : representing the fabulous histories of the heathen gods, and most illustrious heroes of antiquity in a short, plain, and familiar method, by the way of dialoque / by Andrew Tooke. -",BL720.P65 1808,n
i45963253,jstk ,9/23/2011 9:34,1,0,0,1,0,1,b33595112,Astrology and religion among the Greeks and Romans / by Franz Valery Marie Cumont.,BL721 C8 1960,n
i45963290,jstk ,11/21/2006 13:00,1,1,0,1,0,1,b3359515x,Grecian and Roman mythology . with an introductory notice by Taylor Lewis  also a series of illustrations in outline.,BL721 D99,n
i45935129,jstk ,  -  -  ,0,0,0,0,0,0,b33569575,"The classic myths in English literature and in art, based originally on Bulfinch's  Age of fable  (1855) : accompanied by an interpretative and illustrative commentary / Charles Mills Gayley.",BL721 G39 1939,n
i45935361,jstk ,11/21/2006 13:00,2,1,0,2,0,2,b33569617,"The myths of Greece & Rome : their stories, significance and origin / by H.A. Guerber.",BL721 G84,n
i45963332,jstk ,  -  -  ,0,0,0,0,0,0,b33595197,Legends and myths of Greece and Rome / edited by S.H. McGrady.,BL721 L44 1942,n
i4596337x,jstk ,11/21/2006 13:01,1,1,0,1,0,1,b33595239,The mythology of Greece and Rome / by O. Seeman edited by G.H. Bianchi.,BL721 S45,n
i12104346,wstkg,11/27/2009 13:03,22,7,0,22,0,22,b11707598,Astrology and religion among the Greeks and Romans / by Franz Cumont.,BL721.C813 1960,n
i43900446,ustk ,  -  -  ,0,0,0,0,0,0,b32157496,Astrology and religion among the Greeks and Romans,BL721.C97,n
