RECORD #(ITEM),LOCATION,LOUTDATE,TOT CHKOUT,TOT RENEW,YTDCIRC,TOTAL CIRC,I TYPE,Circ,RECORD #(BIBLIO),245,99,IsText
i61553153,kcstk,9/10/2009 14:10,1,0,0,1,0,1,b45928253,"Science, faith, and ethics : grid or gridlock? / Denis Alexander & Robert S. White.",CB430.A43 2006,n
i47552074,wovrg,2/15/2006 18:36,4,0,0,4,0,4,b3485356x,"The American effect : global perspectives on the United States, 1990-2003 / [essays by] Lawrence Rinder ... [et al.]   [foreword Maxwell L. Anderson].",CB430.A49 2003,n
i4364756x,wstkg,2/17/2016 13:23,31,10,0,31,0,31,b32042784,Fatal strategies / Jean Baudrillard   translated by Philip Beitchman and W. G. J. Niesluchowski   edited by Jim Fleming.,CB430.B38813 1990,n
i57712098,kcstk,3/17/2016 16:18,3,3,0,3,0,3,b32042784,Fatal strategies / Jean Baudrillard   translated by Philip Beitchman and W. G. J. Niesluchowski   edited by Jim Fleming.,CB430.B38813 1990,n
i60651714,wstkg,2/11/2016 17:52,14,11,1,13,0,14,b45103690,Fatal strategies / Jean Baudrillard   introduction by Dominic Pettman   translated by Philippe Beitchman and W.G.J. Niesluchowski.,CB430.B38813 2008,n
i24347024,wstkg,5/21/2015 20:19,55,26,0,55,0,55,b20641576,Selected writings / Jean Baudrillard   edited by Mark Poster.,CB430.B39 1988,n
i24822371,wstkg,4/22/2015 12:43,20,15,0,20,0,20,b2106992x,Modernity and ambivalence / Zygmunt Bauman.,CB430.B395 1991,n
i56453164,wstkg,11/12/2012 13:45,5,0,0,5,0,5,b41494465,Beautiful things in popular culture / edited by Alan McKee.,CB430.B397 2007,n
i48824392,wstkg,3/19/2008 13:01,3,3,0,3,0,3,b35132024,Cultural pessimism : narratives of decline in the postmodern world / Oliver Bennett.,CB430.B45 2001,n
i56120357,wstkg,5/23/2008 13:59,3,0,0,3,0,3,b41235174,"The depth of shallow culture : the high art of shoes, movies, novels, monsters, and toys / Albert J. Bergesen.",CB430.B47 2006,n
i62209838,wstkg,2/29/2016 15:05,5,2,0,5,0,5,b47268773,"The challenge of Eurocentrism : global perspectives, policy, and prospects / edited by Rajani Kannepalli Kanth   with the assistance of Amit Basole.",CB430.C43 2009,n
i67693349,hstk ,8/8/2016 9:23,7,3,3,4,0,7,b53323518,The Rey Chow reader / edited by Paul Bowman.,CB430.C4975 2010,n
i47276174,wstkg,2/25/2011 16:37,20,8,0,21,0,21,b34666321,Critical cultural policy studies : a reader / edited by Justin Lewis and Toby Miller.,CB430.C75 2003,n
i61736119,wstkg,4/14/2016 23:21,8,7,0,8,0,8,b46618946,Cultural studies of the modern Middle Ages / edited by Eileen A. Joy ... [et al.].,CB430.C8475 2007,n
i25975079,wstkg,4/10/2006 15:13,12,2,0,12,0,12,b21965377,The Culture and power of knowledge : inquiries into contemporary societies / edited by Nico Stehr and Richard V. Ericson.,CB430.C85 1992,n
i25038199,wstkg,11/11/2014 14:32,36,26,0,36,0,36,b21241533,Consumer culture and postmodernism / Mike Featherstone.,CB430.F43 1991,n
i58308581,wstkg,3/6/2015 16:42,14,7,0,14,0,14,b42742870,Consumer culture and postmodernism / Mike Featherstone.,CB430.F43 2007,n
i36673870,wstkg,7/3/2004 14:13,14,11,0,14,0,14,b27252735,Popular culture : cavespace to cyberspace / Marshall W. Fishwick.,CB430.F574 1999,n
i41272109,wstkg,11/7/2016 15:10,11,7,1,10,0,11,b30100562,Popular culture in a new age / Marshall W. Fishwick.,CB430.F576 2002,n
i23907745,wstkg,11/4/2013 14:55,3,0,0,3,0,3,b2027595x,Blueprint for a higher civilization / by Henry Flynt.,CB430.F59 1975,n
i1559760x,wstkg,1/23/2010 22:46,2,3,0,2,0,3,b14564877,"Earth, Inc. / R. Buckminster Fuller.",CB430.F84 1973,n
i35309532,wstkg,1/28/2013 12:59,9,6,0,9,0,9,b26702757,Symptoms of culture / Marjorie Garber.,CB430.G37 1998,n
