RECORD #(ITEM),LOCATION,LOUTDATE,TOT CHKOUT,TOT RENEW,YTDCIRC,TOTAL CIRC,I TYPE,Circ,RECORD #(BIBLIO),245,99,IsText
i46138699,kcstk,2005-10-26 16:14,1,0,0,1,0,1,b33747891,Bismarck and the Hohenzollern candidature for the Spanish throne. The documents in the German Diplomatic Archives. Ed. with an introd. by Georges Bonnin  trans. by Dr. Isabella M. Massey  with a foreword by Dr. G.P. Gouch.,DD201.B6B5,no
i24291869,wstkg,2005-01-20 23:08,14,5,0,14,0,14,b20600203,The Unification of Germany / [compiled by] Michael Gorman.,DD201.U55 1989,no
i73253091,wstkg,2015-03-02 15:39,2,1,0,2,0,2,b59123989,The Unification of Germany / [compiled by] Michael Gorman.,DD201.U55 1989,no
i11969179,wstkg,  -  -  ,2,0,0,2,0,2,b1158709x,Vorm_§rz und Revolution : 1840-1849 / hrsg. von Hans Fenske.,DD201.V67,no
i41800205,hstk ,  -  -  ,0,0,0,0,0,0,b30439346,History of the German struggle for liberty.,DD203.B58,no
i34928169,wstkg,2016-03-25 17:41,30,16,0,30,0,30,b26540848,"The long nineteenth century : a history of Germany, 1780-1918 / David Blackbourn.",DD203.B59 1998,no
i51562674,wstkg,2016-09-15 16:14,18,10,2,28,0,28,b37279841,"History of Germany, 1780-1918 : the long nineteenth century / David Blackbourn.",DD203.B6 2003,yes
i73127358,wstkg,2016-09-15 14:24,12,24,2,10,0,24,b37279841,"History of Germany, 1780-1918 : the long nineteenth century / David Blackbourn.",DD203.B6 2003,yes
i43937329,ustk ,2007-01-12 12:56,3,0,0,3,0,3,b32192459,"The long nineteenth century : a history of Germany, 1780-19l8",DD203.B62,no
i42241418,hstk ,2006-02-12 21:45,1,0,0,1,0,1,b30830035,"The formation of the first German nation-state, 1800-1871 / John Breuilly.",DD203.B76,no
i27173434,wstkg,2009-02-19 16:12,21,8,0,21,0,21,b22963121,"The formation of the first German nation-state, 1800-1871 / John Breuilly.",DD203.B76 1996,no
i46657459,kcstk,2014-01-24 14:35,14,4,0,14,0,14,b34140840,"A history of Germany, 1815-1985 / William Carr.",DD203.C3H5 1987,no
i58033920,wstkg,2011-04-01 13:59,10,4,0,10,0,10,b42570268,The Thirty Years' War and German memory in the nineteenth century / Kevin Cramer.,DD203.C74 2007,no
i61588921,wstkg,2016-12-04 17:42,8,5,1,7,0,8,b46331219,"Liberal imperialism in Germany : expansionism and nationalism, 1848-1884 / Matthew P. Fitzpatrick.",DD203.F58 2008,no
i41626527,hstk ,  -  -  ,0,0,0,0,0,0,b3028658x,"Questions on German history : ideas, forces, decisions from 1800 to the present : historical exhibition in the Berlin Reichstag : catalogue.",DD203.F7213,no
i34294776,wstkg,2015-05-04 13:47,31,25,0,31,0,31,b26212456,German history since 1800 / edited by Mary Fulbrook.,DD203.G36 1997,no
i34648197,wstkg,2015-05-04 13:47,37,24,1,36,0,37,b26388637,The question of German unification : 1806-1996 / Imanuel Geiss   translated by Fred Bridgham.,DD203.G4513 1997,no
i49127652,wstkg,2015-05-04 13:47,16,11,1,15,0,16,b35269959,"Germany, 1800-1870 / edited by Jonathan Sperber.",DD203.G473 2004,no
i68060014,wstkg,2014-01-11 13:11,6,4,1,5,0,6,b53709470,"Nationalism in Germany, 1848-1866 : revolutionary nation / Mark Hewitson.",DD203.H49 2010,no
i70267121,hstk ,  -  -  ,0,0,0,0,0,0,b53709470,"Nationalism in Germany, 1848-1866 : revolutionary nation / Mark Hewitson.",DD203.H49 2010,no
i70279585,kcstk,2014-01-24 14:34,2,3,0,2,0,3,b53709470,"Nationalism in Germany, 1848-1866 : revolutionary nation / Mark Hewitson.",DD203.H49 2010,no
i55152582,ustk ,2008-02-27 8:03,5,6,0,5,0,6,b38618874,"A history of modern Germany, 1800-2000 / Martin Kitchen.",DD203.K62 2006,no
i56704793,wstkg,2015-02-12 12:23,12,12,0,12,0,12,b38618874,"A history of modern Germany, 1800-2000 / Martin Kitchen.",DD203.K62 2006,no
