RECORD #(ITEM),LOCATION,LOUTDATE,TOT CHKOUT,TOT RENEW,YTDCIRC,TOTAL CIRC,I TYPE,Circ,RECORD #(BIBLIO),245,99,IsText
i47718456,kcstk,2017-01-10 10:43,59,34,3,56,0,59,b33153334,"The legacy of school for Aboriginal people : education, oppression, and emancipation / Bernard Schissel & Terry Wotherspoon.",E96.2.S34 2003,n
i51462254,ustk ,2015-05-13 14:24,31,28,0,31,0,31,b33153334,"The legacy of school for Aboriginal people : education, oppression, and emancipation / Bernard Schissel & Terry Wotherspoon.",E96.2.S34 2003,n
i57995680,estkg,2016-06-21 15:20,18,14,0,18,0,18,b33153334,"The legacy of school for Aboriginal people : education, oppression, and emancipation / Bernard Schissel & Terry Wotherspoon.",E96.2.S34 2003,n
i81305126,estkg,2016-04-19 11:35,2,0,0,2,0,2,b6514997x,"First Nations, M_©tis, and Inuit student success / Deb St Amant.",E96.2.S73 2014,n
i73593163,estkg,2016-08-03 13:05,1,0,1,0,0,1,b59435768,A study of aboriginal teachers' professional knowledge and experience in Canadian schools / prepared by Verna St. Denis.,E96.2.S734 2010,n
i56795750,estkg,2015-11-26 16:44,14,11,1,13,0,14,b41859753,The new buffalo : the struggle for aboriginal post secondary education in Canada / Blair Stonechild.,E96.2.S76 2006,n
i57817169,kcstk,2016-10-02 23:45,14,12,1,13,0,14,b41859753,The new buffalo : the struggle for aboriginal post secondary education in Canada / Blair Stonechild.,E96.2.S76 2006,n
i60389321,hstk ,2013-11-25 17:22,4,4,0,4,0,4,b41859753,The new buffalo : the struggle for aboriginal post secondary education in Canada / Blair Stonechild.,E96.2.S76 2006,n
i50208603,estkg,2012-05-15 18:16,8,6,0,8,0,8,b36228527,"Symposium on Literacy and Aboriginal Peoples 'Best Practices' Native 'Literacy' and Learning : proceedings : May 3rd and 4th, 2002 / [editors: Eileen Antone ... et al.].",E96.2.S96 2002,n
i40245822,wstkg,2014-03-13 22:20,41,31,1,40,0,41,b29537034,Voice of the drum : indigenous education and culture / edited by Roger Neil.,E96.2.V64 2000,n
i56758881,estkg,2016-02-04 12:33,18,7,0,18,0,18,b41780759,Supporting Indigenous children's development : community-university partnerships / Jessica Ball and Alan Pence.,E96.2B35 2006,n
