RECORD #(ITEM),LOCATION,LOUTDATE,TOT CHKOUT,TOT RENEW,YTDCIRC,TOTAL CIRC,I TYPE,Circ,RECORD #(BIBLIO),245,99,IsText
i40177816,wstkg,2008-04-28 16:46,9,1,0,12,0,12,b29498971,Luther H. Holton : a founding Canadian entrepreneur / Henry C. Klassen.,F1032.3.H76K56 2001,n
i41607922,hstk ,2003-03-31 12:13,3,2,0,3,0,3,b29498971,Luther H. Holton : a founding Canadian entrepreneur / Henry C. Klassen.,F1032.3.H76K56 2001,n
i43959453,ustk ,2003-03-19 12:58,4,6,0,4,0,6,b29498971,Luther H. Holton : a founding Canadian entrepreneur / Henry C. Klassen.,F1032.3.H76K56 2001,n
i44150301,ustk ,2006-10-20 13:54,2,2,0,2,0,2,b32392114,The politics of John W. Dafoe and the Free press,F1033.D13C7,n
i23517050,wstkg,  -  -  ,0,0,0,0,0,0,b19961108,Builders of a nation / by John Dando.,F1033.D18 1949,n
i78602439,wstkg,2015-01-21 15:21,3,1,0,3,0,3,b62525359,The dawn of Canada's century : hidden histories / edited by Gordon Darroch.,F1033.D26 2014,n
i79159710,hstk ,2015-11-18 10:30,1,0,0,1,0,1,b62525359,The dawn of Canada's century : hidden histories / edited by Gordon Darroch.,F1033.D26 2014,n
i7970962x,ustk ,2015-03-17 14:04,1,0,0,1,0,1,b62525359,The dawn of Canada's century : hidden histories / edited by Gordon Darroch.,F1033.D26 2014,n
i3318317x,ckit2,2003-10-02 8:01,34,0,0,34,4,68,b25560268,"Decades : forces of change, 1896-1960 / Dennis DesRivi_®res ... [et al.].",F1033.D34 1996,n
i70291676,wstkg,2014-10-15 15:05,5,4,0,5,0,5,b5588703x,The struggle for Imperial unity : recollections and experiences / by George T. Denison.,F1033.D395 2010,n
i46345279,kcstk,2012-11-29 15:21,1,3,0,1,0,3,b33903645,"The Dafoe-Sifton correspondence, 1919-1927 / [edited by] Ramsay Cook.",F1033.D3A3,n
i46345413,kcstk,2014-11-14 18:17,2,2,0,2,0,2,b33903748,The politics of John W. Dafoe and the Free Press,F1033.D3C6,n
i46746663,kcstk,2006-09-20 14:26,1,2,0,1,0,2,b3421446x,Dafoe of the Free Press / [by] Murray Donnelly.,F1033.D3D6,n
i5650407x,wstkg,2015-09-02 9:31,6,9,0,6,0,9,b41557396,Lord Stanley : the man behind the cup / Kevin Shea and John Jason Wilson.,F1033.D47S44 2006,n
i57711720,kcstk,2007-07-31 15:40,1,0,0,1,0,1,b41557396,Lord Stanley : the man behind the cup / Kevin Shea and John Jason Wilson.,F1033.D47S44 2006,n
i46344962,kcstk,2012-02-02 19:29,2,0,0,2,0,2,b33903426,The struggle for imperial unity,F1033.D4S8,n
i7208022x,estkg,2013-09-11 15:54,1,0,0,1,0,1,b57617181,Disasters / edited by Heather Kissock.,F1033.D57 2012,n
